name,bazel,height,parents
ic-crypto-internal-basic-sig-ed25519,no,0,5
ic-crypto-internal-threshold-sig-bls12381,no,0,3
ic-embedders,no,0,3
ic-crypto-internal-basic-sig-ecdsa-secp256r1,no,0,2
ic-crypto-internal-basic-sig-rsa-pkcs1,no,0,2
ic-crypto-internal-threshold-sig-ecdsa,no,0,2
ic-crypto-tls-interfaces,no,0,2
ic-btc-canister,no,0,1
ic-canister-sandbox-backend-lib,no,1,1
ic-crypto-internal-basic-sig-cose,no,1,1
ic-crypto-internal-tls,no,1,1
ic-crypto-tls-cert-validation,no,1,1
ic-crypto-utils-basic-sig,no,1,1
ic-crypto-utils-threshold-sig,no,1,1
ic-canister-sandbox-replica-controller,no,2,1
ic-certified-vars,no,2,1
ic-crypto-internal-basic-sig-iccsa,no,3,2
ic-crypto-internal-csp,no,4,1
ic-crypto,no,5,1
ic-execution-environment,no,6,0
ic-types,yes,,34
ic-protobuf,yes,,25
ic-base-types,yes,,17
ic-crypto-internal-types,yes,,17
ic-crypto-sha,yes,,16
ic-interfaces,yes,,15
ic-utils,yes,,13
ic-logger,yes,,12
ic-sys,yes,,11
ic-config,yes,,10
ic-replicated-state,yes,,10
ic-ic00-types,yes,,9
ic-crypto-internal-basic-sig-der-utils,yes,,8
ic-registry-subnet-type,yes,,8
ic-crypto-tree-hash,yes,,7
ic-wasm-types,yes,,7
ic-error-types,yes,,6
ic-metrics,yes,,6
phantom_newtype,yes,,6
ic-system-api,yes,,5
ic-crypto-internal-bls12381-common,yes,,4
ic-crypto-internal-bls12381-serde-miracl,yes,,4
ic-crypto-secrets-containers,yes,,4
ic-cycles-account-manager,yes,,4
ic-registry-routing-table,yes,,4
ic-registry-subnet-features,yes,,4
ic-btc-types,yes,,3
ic-btc-types-internal,yes,,3
ic-crypto-internal-fs-ni-dkg,yes,,3
ic-nns-constants,yes,,3
ic-registry-provisional-whitelist,yes,,3
ic-registry-transport,yes,,3
memory_tracker,yes,,3
ic-canister-sandbox-common,yes,,2
ic-constants,yes,,2
ic-crypto-internal-logmon,yes,,2
ic-crypto-internal-multi-sig-bls12381,yes,,2
ic-crypto-internal-sha2,yes,,2
ic-crypto-internal-test-vectors,yes,,2
ic-interfaces-state-manager,yes,,2
ic-registry-common-proto,yes,,2
ic-registry-keys,yes,,2
ic-state-layout,yes,,2
fe-derive,yes,,1
ic-certification-version,yes,,1
ic-context-logger,yes,,1
ic-crypto-hash,yes,,1
ic-crypto-internal-basic-sig-ecdsa-secp256k1,yes,,1
ic-crypto-internal-hmac,yes,,1
ic-crypto-internal-threshold-sig-bls12381-der,yes,,1
ic-registry-client-fake,yes,,1
ic-registry-client-helpers,yes,,1
ic-registry-proto-data-provider,yes,,1
stable-structures,yes,,1
tree-deserializer,yes,,1
